talent|side|level|hero_id
+3s Fiend's Grip Duration|L|25|bane
+275 Brain Sap Damage/Heal|R|25|bane
+30 Movement Speed|L|20|bane
-3s Nightmare Cooldown|R|20|bane
+5% Fiend's Grip Max Mana Drain|L|15|bane
+13 Enfeeble Damage Per Second|R|15|bane
+20% Enfeeble Cast Range Reduction|L|10|bane
+125 Brain Sap Cast Range|R|10|bane
Flamebreak applies 2 Sticky Napalm Stacks|L|25|batrider
+20 Sticky Napalm Damage|R|25|batrider
-6s Flamebreak Cooldown|L|20|batrider
+4s Smoldering Resin Duration|R|20|batrider
-7s Flaming Lasso Cooldown|L|15|batrider
+20 Movement Speed|R|15|batrider
+50 Flamebreak Knockback Distance|L|10|batrider
+50 Sticky Napalm Radius|R|10|batrider
-30s Primal Roar Cooldown|L|25|beastmaster
No Wild Axes Cooldown|R|25|beastmaster
+250 Max Health Aura to Beastmaster and his units|L|20|beastmaster
+30 Damage to Beastmaster and his units|R|20|beastmaster
+10 Inner Beast Attack Speed|L|15|beastmaster
+20 Movespeed Aura to Beastmaster and his units|R|15|beastmaster
+2% Wild Axes Damage Amp Per Stack|L|10|beastmaster
-5s Call Of The Wild Cooldown|R|10|beastmaster
+18% Max Thirst MS|L|25|bloodseeker
2 Rupture Charges|R|25|bloodseeker
-0.7% Bloodrage Max Health Damage Per Second|L|20|bloodseeker
+425 Rupture Cast Range|R|20|bloodseeker
+100 Blood Rite Damage|L|15|bloodseeker
+8% Rupture Initial Damage|R|15|bloodseeker
+15% Bloodrage Spell Amplification|L|10|bloodseeker
+25 Bloodrage Attack Speed|R|10|bloodseeker
No Cooldown on Jinada|L|25|bountyhunter
+250 Shuriken Toss Damage|R|25|bountyhunter
+50 Jinada Gold Steal|L|20|bountyhunter
Track Grants Shared Vision|R|20|bountyhunter
+50 Track Gold|L|15|bountyhunter
-30% Damage Taken in Shadow Walk|R|15|bountyhunter
+20 Damage|L|10|bountyhunter
+0.6s Shuriken Toss Slow|R|10|bountyhunter
Cinder Brew applies Fear when ignited|L|25|brewmaster
Brewlings Gain Drunken Brawler Passive|R|25|brewmaster
+100 Attack Speed|L|20|brewmaster
+1200 Brewlings Health|R|20|brewmaster
+1x Brewed Up multiplier for Drunken Brawler|L|15|brewmaster
+30% Cinder Brew Damage/Duration|R|15|brewmaster
+1.5s Thunder Clap Duration|L|10|brewmaster
+10 Brewlings Damage|R|10|brewmaster
+18 Warpath Damage Per Stack|L|25|bristleback
+12% Spell Lifesteal|R|25|bristleback
+20 Quill Stack Damage|L|20|bristleback
+25 Health Regen|R|20|bristleback
+8%/4% Bristleback Back/Side Damage Reduction|L|15|bristleback
+250 Goo Cast Range|R|15|bristleback
+1.5 Mana Regen|L|10|bristleback
+25 Attack Speed|R|10|bristleback
+30% Incapacitating Bite Slow/Miss Chance|L|25|broodmother
-0.25s BAT during Insatiable Hunger|R|25|broodmother
+35 Attack Speed|L|20|broodmother
+12 Incapacitating Bite Attack Bonus|R|20|broodmother
+125 Spiderlings Health|L|15|broodmother
-5s Spin Web Charge Restore Time|R|15|broodmother
+0.5% Spider's Milk Hero Health as heal|L|10|broodmother
+80 Spawn Spiderlings Damage|R|10|broodmother
+0.8s Hoof Stomp Duration|L|25|centaurwarrunner
Gains Retaliate Aura|R|25|centaurwarrunner
-25s Stampede Cooldown|L|20|centaurwarrunner
+45 Retaliate Damage|R|20|centaurwarrunner
+30% Double Edge Strength Damage|L|15|centaurwarrunner
+12 Strength|R|15|centaurwarrunner
+15 Movement Speed|L|10|centaurwarrunner
+4 Health Regen|R|10|centaurwarrunner
+10s Phantasm Duration|L|25|chaosknight
+10% Chaos Strike Chance|R|25|chaosknight
Reality Rift Pierces Spell Immunity|L|20|chaosknight
+0.6 Min/Max Chaos Bolt Duration|R|20|chaosknight
+10 Strength|L|15|chaosknight
-3s Chaos Bolt Cooldown|R|15|chaosknight
+225 Reality Rift Pull Distance|L|10|chaosknight
+30% Chaos Strike Lifesteal|R|10|chaosknight
Hand of God Fully Heals Chen and His Creeps|L|25|chen
Hand of God applies a Strong Dispel|R|25|chen
+1200 Holy Persuasion Minimum Health|L|20|chen
-30s Hand of God Cooldown|R|20|chen
-14% Penitence Slow|L|15|chen
+12 Holy Persuasion Damage|R|15|chen
+150 Convert Attack Speed|L|10|chen
Penitence Deals 175 Damage|R|10|chen
Tar Bomb Multishot|L|25|clinkz
-9s Strafe Cooldown|R|25|clinkz
+40 Strafe Attack Speed|L|20|clinkz
+350 Death Pact Bonus Health|R|20|clinkz
+1 Death Pact Charge|L|15|clinkz
+75 Attack Range|R|15|clinkz
-4s Skeleton Walk Cooldown|L|10|clinkz
+0.75s Strafe Duration|R|10|clinkz
-0.25s Battery Assault Interval|L|25|clockwerk
Debuff Immunity Inside Power Cogs|R|25|clockwerk
+75 Rocket Flare Damage|L|20|clockwerk
Rocket Flare True Sight|R|20|clockwerk
+24 Battery Assault Damage|L|15|clockwerk
+2 Power Cogs Hit To Kill|R|15|clockwerk
+75 Hookshot Damage|L|10|clockwerk
+0.4s Rocket Flare Slow Duration|R|10|clockwerk
+300 Crystal Nova Damage|L|25|crystalmaiden
+1s Frostbite Duration|R|25|crystalmaiden
+50 Freezing Field Damage|L|20|crystalmaiden
+225 Attack Speed|R|20|crystalmaiden
-4.5s Crystal Nova Cooldown|L|15|crystalmaiden
+100 Frostbite Cast Range|R|15|crystalmaiden
+12 Intelligence|L|10|crystalmaiden
+200 Health|R|10|crystalmaiden
350 AoE Surge|L|25|darkseer
2 Ion Shell Charges |R|25|darkseer
+50 Ion Shell Damage|L|20|darkseer
-40s Wall of Replica Cooldown|R|20|darkseer
Ion Shell Provides +250 Max Health|L|15|darkseer
+75 Vacuum AoE|R|15|darkseer
+65 Ion Shell Radius|L|10|darkseer
+15% Wall of Replica Illusion Damage|R|10|darkseer
+2 Bedlam Attack Targets|L|25|darkwillow
500 Terrorize Impact Damage|R|25|darkwillow
-7s Bramble Maze CD|L|20|darkwillow
+1.5s Shadow Realm Duration|R|20|darkwillow
+150 Cursed Crown AoE|L|15|darkwillow
+30 Bedlam Damage|R|15|darkwillow
+10 Intelligence|L|10|darkwillow
+1s Bedlam Duration|R|10|darkwillow
+80% Celestial Hammer Cast Range/Speed|L|25|dawnbreaker
-4s Starbreaker Cooldown|R|25|dawnbreaker
-1 Luminosity Attacks Required|L|20|dawnbreaker
+150 Solar Guardian Radius|R|20|dawnbreaker
-20s Solar Guardian Cooldown|L|15|dawnbreaker
+40% Luminosity Critical Strike Damage|R|15|dawnbreaker
+15% Celestial Hammer Slow|L|10|dawnbreaker
+12 Damage|R|10|dawnbreaker
+1 Weave Armor Reduction/Increase|L|25|dazzle
+40% Poison Touch Slow|R|25|dazzle
+75 Poison Touch DPS|L|20|dazzle
-4s Shallow Grave Cooldown|R|20|dazzle
+5s Nothl Projection Duration|L|15|dazzle
+45 Shadow Wave Heal / Damage|R|15|dazzle
+1.75 Mana Regen|L|10|dazzle
+200 Poison Touch Attack Range|R|10|dazzle
+8 Exorcism Spirits|L|25|deathprophet
-22s Spirit Siphon Replenish Time|R|25|deathprophet
+25 Spirit Siphon Damage/Heal|L|20|deathprophet
+400 Health|R|20|deathprophet
-2.5s Crypt Swarm Cooldown|L|15|deathprophet
+75 Silence AoE|R|15|deathprophet
+12% Magic Resistance|L|10|deathprophet
+40 Attack Speed|R|10|deathprophet
+150 Static Storm Radius|L|25|disruptor
-12s Glimpse Cooldown|R|25|disruptor
+0.6s Thunder Strike Slow Duration|L|20|disruptor
+2s Kinetic Field Duration|R|20|disruptor
+1.5s Static Storm Duration|L|15|disruptor
+10%/300 Glimpse Distance To Damage/Max|R|15|disruptor
+15 Thunder Strike Damage per Strike|L|10|disruptor
+20 Movement Speed|R|10|disruptor
Doom applies Break|L|25|doom
Doom applies Mute|R|25|doom
+2.5% Infernal Blade Max HP As Damage|L|20|doom
-10s Scorched Earth Cooldown|R|20|doom
Devour Can Target Ancients|L|15|doom
+5% Scorched Earth Movement Speed|R|15|doom
+0.2s Infernal Blade Stun Duration|L|10|doom
Devour grants 15% Magic Resistance|R|10|doom
+{s:bonus_frost_breath_effect_bonus}% Wyrm's Wrath effect during Elder Dragon Form|L|25|dragonknight
+12 Dragon Blood HP Regen/Armor|R|25|dragonknight
+85% Breathe Fire Damage/Cast Range in Dragon Form|L|20|dragonknight
+150 Elder Dragon Form Attack Range|R|20|dragonknight
+300 Health|L|15|dragonknight
+0.4s Dragon Tail Stun|R|15|dragonknight
30% Breathe Fire Damage Reduction|L|10|dragonknight
+15 Damage|R|10|dragonknight
+1 Multishot Wave|L|25|drowranger
+10% Marksmanship Chance|R|25|drowranger
50% Gust Self Movement Speed|L|20|drowranger
+25% Multishot Damage|R|20|drowranger
-6s Multishot Cooldown|L|15|drowranger
+75 Attack Range|R|15|drowranger
+1 Multishot Arrow Per Wave|L|10|drowranger
Gust Costs No Mana|R|10|drowranger
-3s Boulder Smash Cooldown|L|25|earthspirit
Magnetize Undispellable|R|25|earthspirit
+180 Rolling Boulder Damage|L|20|earthspirit
+30% Magnetize Damage & Duration|R|20|earthspirit
+80 Boulder Smash Damage|L|15|earthspirit
+0.3s Rolling Boulder Stun Duration|R|15|earthspirit
+150 Rolling Boulder Distance|L|10|earthspirit
-3s Geomagnetic Grip Cooldown|R|10|earthspirit
-1.5s Enchant Totem Cooldown|L|25|earthshaker
-50% Echo Slam Cooldown|R|25|earthshaker
+50% Enchant Totem Damage|L|20|earthshaker
+50 Echo Damage|R|20|earthshaker
+50 Aftershock Damage|L|15|earthshaker
+200 Fissure Range|R|15|earthshaker
+90 Fissure Damage|L|10|earthshaker
+25 Base Damage|R|10|earthshaker
+100% Cleave|L|25|eldertitan
-60s Earth Splitter Cooldown|R|25|eldertitan
+100 Natural Order Radius|L|20|eldertitan
+350 Echo Stomp Wake Damage|R|20|eldertitan
+25 Astral Spirit Hero Attack|L|15|eldertitan
+75 Echo Stomp Damage|R|15|eldertitan
+25 Attack Speed|L|10|eldertitan
+2% Astral Spirit Move Speed Per Hero|R|10|eldertitan
-12s Remnant Charge Restore Time|L|25|emberspirit
2 Sleight of Fist Charges|R|25|emberspirit
+50 Sleight of Fist Hero Damage|L|20|emberspirit
+60 Searing Chains Damage|R|20|emberspirit
+1s Searing Chains Duration|L|15|emberspirit
+100% Flame Guard DPS|R|15|emberspirit
+165 Flame Guard Barrier Amount|L|10|emberspirit
+12 Damage|R|10|emberspirit
+12 Nature's Attendants Wisps|L|25|enchantress
+6.5% Impetus Damage|R|25|enchantress
+150 Health / +25 Damage  for Enchantress and her units|L|20|enchantress
+60 Untouchable Attack Slow|R|20|enchantress
+8 Nature's Attendants Heal|L|15|enchantress
+30 Attack Speed for Enchantress and her units|R|15|enchantress
+30 Movespeed during Nature's Attendants|L|10|enchantress
+10 Enchanted Creep Armor|R|10|enchantress
+4 Demonic Summoning Eidolons|L|25|enigma
+4 Malefice Instances|R|25|enigma
+40 Eidolon Damage|L|20|enigma
+200 Midnight Pulse Radius|R|20|enigma
+50 Malefice Instance Damage|L|15|enigma
+250 Health|R|15|enigma
+50 Black Hole Damage Per Second|L|10|enigma
+10 Eidolon Attack Speed|R|10|enigma
+140 Chronosphere AoE|L|25|facelessvoid
+20% Backtrack Chance|R|25|facelessvoid
-1s Time Walk Cooldown|L|20|facelessvoid
+80 Attack Speed during Chronosphere|R|20|facelessvoid
+12% Time Dilation Slow per Cooldown|L|15|facelessvoid
+30 Time Lock Damage|R|15|facelessvoid
+0.5s Time Walk Backtrack Duration|L|10|facelessvoid
+7 Time Dilation DPS Per Cooldown|R|10|facelessvoid
+70% Stroke of Fate Speed and Travel Range|L|25|grimstroke
+150 Ink Swell Radius|R|25|grimstroke
+3 Hits to Kill Phantom|L|20|grimstroke
+80% Stroke of Fate Damage|R|20|grimstroke
+12% Ink Swell Movement Speed|L|15|grimstroke
+25% Soulbind Spell Damage|R|15|grimstroke
-4s Ink Swell Cooldown|L|10|grimstroke
+65 Phantom's Embrace DPS|R|10|grimstroke
-30s Call Down Cooldown|L|25|gyrocopter
-5s Flak Cannon Cooldown|R|25|gyrocopter
+14 Rocket Barrage Damage|L|20|gyrocopter
+3 Flak Cannon Attacks|R|20|gyrocopter
+25 Flak Cannon Damage|L|15|gyrocopter
+0.3s Homing Missile Stun Duration|R|15|gyrocopter
+175 Health|L|10|gyrocopter
+25% Homing Missile Damage|R|10|gyrocopter
+400 Sharpshooter Max Damage|L|25|hoodwink
2 Acorn Shot Charges|R|25|hoodwink
-3 Armor Corruption|L|20|hoodwink
Sharpshooter Provides Vision While Charging|R|20|hoodwink
+1 Acorn Shot Bounce|L|15|hoodwink
+60 Bushwhack Damage|R|15|hoodwink
+1.5 Mana Regen|L|10|hoodwink
+1 Scurry Ability Charge|R|10|hoodwink
+6s Burning Spear Duration|L|25|huskar
+25% Life Break Damage|R|25|huskar
-5s Life Break Cooldown|L|20|huskar
+30% Berserker's Blood Regen|R|20|huskar
+15% Lifesteal|L|15|huskar
+5 Burning Spear Burn Damage|R|15|huskar
+2s Life Break Slow Duration|L|10|huskar
+0.75s Inner Fire Duration|R|10|huskar
2x Quas/Wex/Exort Active Bonuses|L|25|invoker
Radial Deafening Blast|R|25|invoker
+30 Alacrity Damage/Speed|L|20|invoker
+2 Chaos Meteors|R|20|invoker
-5s Cold Snap Cooldown|L|15|invoker
-4s Sun Strike Cooldown|R|15|invoker
-4s Tornado Cooldown|L|10|invoker
+50 Ice Wall DPS|R|10|invoker
Attack Tethered Ally's Target (75% damage)|L|25|io
Unslowable during Overcharge|R|25|io
-30s Relocate Cooldown|L|20|io
+0.2% Overcharge Max HP Regen Bonus|R|20|io
+60 Spirits Hero Damage|L|15|io
+5% Tether Movement Speed|R|15|io
+12 Attack Damage to Tethered Units|L|10|io
+1.5s Overcharge Duration|R|10|io
+2.5% Liquid Frost and Fire Max Health Damage|L|25|jakiro
+100% Dual Breath Damage and Range|R|25|jakiro
+20 Macropyre Damage|L|20|jakiro
+0.4s Ice Path Stun Duration|R|20|jakiro
+60 Ice Path Base Damage|L|15|jakiro
+50 Liquid Fire Attack Speed Slow|R|15|jakiro
-2s Dual Breath Cooldown|L|10|jakiro
+150 Attack Range|R|10|jakiro
+50% Blade Dance Lifesteal|L|25|juggernaut
+1s Omnislash Duration|R|25|juggernaut
-3s Blade Fury Cooldown|L|20|juggernaut
+2 Healing Ward Hits to Kill|R|20|juggernaut
+40 Movement Speed During Blade Fury|L|15|juggernaut
+1% Healing Ward Heal|R|15|juggernaut
+4% Duelist Damage|L|10|juggernaut
-12s Healing Ward Cooldown|R|10|juggernaut
+200 Illuminate Damage|L|25|keeperofthelight
Chakra Magic Strong Dispels|R|25|keeperofthelight
+200 Chakra Magic Mana|L|20|keeperofthelight
+10% Spirit Form Movement Speed Bonus|R|20|keeperofthelight
-5s Blinding Light Cooldown|L|15|keeperofthelight
-3s Chakra Magic Cooldown|R|15|keeperofthelight
-2s Illuminate Cooldown|L|10|keeperofthelight
+40% Blinding Light Miss|R|10|keeperofthelight
+1 Echo Slash Attack|L|25|kez
+100% Shodo Sai Mark Critical Strike|R|25|kez
+50% Falcon Rush Evasion|L|20|kez
+5% Kazurai Katana Damage Per Second|R|20|kez
Raven's Veil Mark Applies Parry Bonus|L|15|kez
+2s Falcon Rush Duration|R|15|kez
+1.5 Mana Regen|L|10|kez
+12% Magic Resistance|R|10|kez
+120% Tidebringer Cleave Damage|L|25|kunkka
+100 Spell AoE|R|25|kunkka
+15% Rum Damage Delay|L|20|kunkka
-4s Torrent Cooldown|R|20|kunkka
+70 Tidebringer Damage|L|15|kunkka
+25% Torrent Damage/Knock Up Duration|R|15|kunkka
-15s Admiral's Rum Cooldown|L|10|kunkka
Tidebringer applies 60% slow for 1s|R|10|kunkka
Press the Attack grants 1.5s Debuff Immunity|L|25|legioncommander
+75% Moment of Courage Lifesteal|R|25|legioncommander
+8% Moment of Courage Proc Chance|L|20|legioncommander
300 AoE Press The Attack|R|20|legioncommander
+35 Overwhelming Odds Damage per Hero|L|15|legioncommander
+40 Press The Attack HP Regen|R|15|legioncommander
+12% Press The Attack Movement Speed|L|10|legioncommander
-2s Overwhelming Odds Cooldown|R|10|legioncommander
+20 Diabolic Edict Explosions|L|25|leshrac
Pulse Nova triggers Lightning Storm|R|25|leshrac
+30 Pulse Nova Damage|L|20|leshrac
Diabolic Edict Hits An Additional Target|R|20|leshrac
+10% Damage Reduction during Pulse Nova|L|15|leshrac
+80 Lightning Storm Damage|R|15|leshrac
+4 Armor|L|10|leshrac
+1.5 Mana Regen|R|10|leshrac
+100 Chain Frost Incremental Damage|L|25|lich
Frost Shield Provides +50 HP Regen|R|25|lich
+4s Frost Shield Duration|L|20|lich
Chain Frost on Death|R|20|lich
-3.5s Frost Blast Cooldown|L|15|lich
+0.3s Sinister Gaze Duration|R|15|lich
+125 Frost Blast Radius and Area Damage|L|10|lich
+10% Frost Shield Damage Reduction|R|10|lich
+1s Rage Duration|L|25|lifestealer
+1% Feast Heal and Damage|R|25|lifestealer
+25% Open Wounds Lifesteal|L|20|lifestealer
+15% Infest Target Movespeed/Health|R|20|lifestealer
+15% Open Wounds Slow|L|15|lifestealer
+50 Ghoul Frenzy Attack Speed|R|15|lifestealer
+3% Ghoul Frenzy Movement Speed|L|10|lifestealer
+4 All Stats|R|10|lifestealer
+150% Crit On Targets Affected By Spells|L|25|lina
+60% Combustion Overheat Damage|R|25|lina
+10/1% Fiery Soul Per Stack|L|20|lina
-20s Laguna Blade Cooldown|R|20|lina
+150 Light Strike Array Damage|L|15|lina
5% Fiery Soul Magic Resist Per Stack|R|15|lina
-3s Dragon Slave Cooldown|L|10|lina
+25 Damage|R|10|lina
+250 AoE Hex|L|25|lion
+600 Earth Spike cast range/travel distance|R|25|lion
Earth Spike affects a 30 degree cone|L|20|lion
+20 Finger of Death Damage Per Kill|R|20|lion
+15% To Hell And Back Debuff/Spell Amp|L|15|lion
-2.5s Hex Cooldown|R|15|lion
+20 Movement Speed|L|10|lion
+10% Mana Drain Slow|R|10|lion
+45 Spirit Link Attack Speed|L|25|lonedruid
-50s True Form Cooldown|R|25|lonedruid
+{s:bonus_damage} Entangling Claws DPS|L|20|lonedruid
+150 Savage Roar Radius|R|20|lonedruid
+7 Spirit Bear Armor|L|15|lonedruid
-5s Savage Roar Cooldown|R|15|lonedruid
+30 Spirit Bear Movement Speed|L|10|lonedruid
+200 Health|R|10|lonedruid
Lucent Beam Hits An Additional Target|L|25|luna
+1 Lunar Blessing Damage Per Level|R|25|luna
-2s Lucent Beam Cooldown|L|20|luna
+110 Lucent Beam Damage|R|20|luna
-40s Eclipse Cooldown|L|15|luna
+1 Lunar Orbit Glaive|R|15|luna
+0.4s Lucent Beam Ministun|L|10|luna
-5% Moon Glaives Damage Reduction|R|10|luna
+2 Wolves Summoned|L|25|lycan
Howl Reduces Total Attack Damage|R|25|lycan
+25% Feral Impulse Damage|L|20|lycan
+6s Shapeshift Duration|R|20|lycan
-15s Shapeshift Cooldown|L|15|lycan
+350 Summon Wolves Health|R|15|lycan
+10 Wolves Damage|L|10|lycan
+3 Howl Armor Reduction|R|10|lycan
+0.8s Reverse Polarity Stun Duration|L|25|magnus
+10% Empower Damage/Cleave|R|25|magnus
+15% Skewer Damage Per Distance Travelled|L|20|magnus
+125 Shockwave Damage|R|20|magnus
-5s Skewer Cooldown|L|15|magnus
+12 All Stats per hero hit with Reverse Polarity|R|15|magnus
+1.25s Skewer Slow Duration|L|10|magnus
+1.5 Mana Regen|R|10|magnus
+20% Bodyguard Damage|L|25|marci
Unleash Duration Extended By 6s On Kill|R|25|marci
+10% Unleash Movement Speed|L|20|marci
+0.75s Rebound Stun Duration|R|20|marci
+10% Rebound Movement Speed Bonus|L|15|marci
+100 Dispose Damage|R|15|marci
+75 Rebound Landing Radius|L|10|marci
+1.5s Dispose Slow Duration|R|10|marci
Arena Of Blood Grants Team +180 HP Regen|L|25|mars
God's Rebuke +65% Crit|R|25|mars
+0.4s Spear of Mars Stun|L|20|mars
-20s Arena Of Blood Cooldown|R|20|mars
+100 Spear Of Mars Damage|L|15|mars
-2s God's Rebuke Cooldown|R|15|mars
+10% Dauntless Regen Per Enemy|L|10|mars
+100 God's Rebuke Distance|R|10|mars
+40 Intelligence|L|25|medusa
+1 Gorgon's Grasp Volley|R|25|medusa
+1.5s Stone Gaze Duration|L|20|medusa
+3 Mystic Snake Bounces|R|20|medusa
-3s Mystic Snake Cooldown|L|15|medusa
-8% Split Shot Damage Penalty|R|15|medusa
+10% Stone Gaze Bonus Physical Damage|L|10|medusa
+20% Gorgon's Grasp Radius|R|10|medusa
-1s Poof Cast Duration|L|25|meepo
+350 Health|R|25|meepo
+8 Ransack Health Steal|L|20|meepo
Earthbind grants True Strike on Targets|R|20|meepo
-2.5s Earthbind Cooldown|L|15|meepo
+15% Evasion|R|15|meepo
+50 Poof Damage|L|10|meepo
+7 Strength|R|10|meepo
+250 Starstorm Damage|L|25|mirana
+2 Multishot Sacred Arrows|R|25|mirana
+35 Base Damage|L|20|mirana
-20s Moonlight Shadow Cooldown|R|20|mirana
+90 Leap Attack Speed|L|15|mirana
Moonlight Shadow gives +20% Evasion|R|15|mirana
+150 Leap Distance|L|10|mirana
-2s Starstorm Cooldown|R|10|mirana
Additional Wukong's Command Ring|L|25|monkeyking
-1 Jingu Mastery Required Hits|R|25|monkeyking
+60% Boundless Strike Critical Damage|L|20|monkeyking
0 Cooldown Primal Spring|R|20|monkeyking
+110 Jingu Mastery Damage|L|15|monkeyking
+450 Tree Dance Cast Range|R|15|monkeyking
+0.2s Boundless Strike Stun Duration|L|10|monkeyking
+{s:bonus_impact_damage} Primal Spring Max Damage|R|10|monkeyking
+35 Strength|L|25|morphling
-40% Waveform Cooldown|R|25|morphling
+20 Agility|L|20|morphling
-3s Adaptive Strike Cooldown|R|20|morphling
+75 Attack Range|L|15|morphling
+250 Waveform Range|R|15|morphling
+12s Morph Duration|L|10|morphling
+15% Magic Resistance|R|10|morphling
+25% Magic Resistance|L|25|muerta
+20% Gunslinger chance|R|25|muerta
The Calling summons 2 additional revenants|L|20|muerta
2 Dead Shot Charges|R|20|muerta
+55 Gunslinger Damage|L|15|muerta
+3% Max HP Regen while inside The Calling|R|15|muerta
+150 Health|L|10|muerta
+300 Dead Shot Cast Range|R|10|muerta
Ensnare applies Break|L|25|nagasiren
-10s Mirror Image Cooldown|R|25|nagasiren
+1 Mirror Image Illusion|L|20|nagasiren
-20s Song of the Siren Cooldown|R|20|nagasiren
-50% Mirror Image Illusion Damage Taken|L|15|nagasiren
+10% Mirror Image Damage|R|15|nagasiren
+30% Rip Tide Damage|L|10|nagasiren
+{s:bonus_pull_strength} Reel In Pull Speed|R|10|nagasiren
3x Treant HP/Damage|L|25|nature'sprophet
Removed Teleportation Cooldown|R|25|nature'sprophet
+170 Sprout Damage|L|20|nature'sprophet
-15s Wrath of Nature Cooldown|R|20|nature'sprophet
+100 Teleportation Barrier|L|15|nature'sprophet
+50 Treant Movement Speed|R|15|nature'sprophet
+25 Wrath of Nature Base Damage|L|10|nature'sprophet
-10s Nature's Call Cooldown|R|10|nature'sprophet
-2.5s Death Pulse Cooldown|L|25|necrophos
+0.5% Heartstopper Aura Damage|R|25|necrophos
+25% Heartstopper Regen Reduction|L|20|necrophos
+15% Ghost Shroud Self Restoration Amp|R|20|necrophos
+50 Death Pulse Heal|L|15|necrophos
+20% Ghost Shroud Movement Slow|R|15|necrophos
+2s Sadist Stack Duration|L|10|necrophos
+125 Reaper's Scythe Cast Range|R|10|necrophos
-40s Dark Ascension Cooldown|L|25|nightstalker
+100 Hunter In The Night Attack Speed|R|25|nightstalker
+20 Strength|L|20|nightstalker
+20 Crippling Fear DPS|R|20|nightstalker
+20% Hunter in the Night Status Resistance|L|15|nightstalker
+25 Dark Ascension Damage|R|15|nightstalker
+5s Dark Ascension Duration|L|10|nightstalker
-1s Void Cooldown|R|10|nightstalker
+80 Agility|L|25|nyxassassin
600 Mind Flare Radius|R|25|nyxassassin
+100 Impale Damage|L|20|nyxassassin
+0.5s Spiked Carapace Stun Duration|R|20|nyxassassin
-3s Mind Flare Cooldown|L|15|nyxassassin
+50 Vendetta Damage|R|15|nyxassassin
+0.2s Impale Stun Duration|L|10|nyxassassin
+25% Spiked Carapace Damage Reflect|R|10|nyxassassin
+220 Fireblast Damage|L|25|ogremagi
17% Fireblast chance on attack|R|25|ogremagi
+30 Bloodlust Attack Speed|L|20|ogremagi
+30 Strength|R|20|ogremagi
+2/0.01 Dumb Luck Mana/Mana Regen Per Strength|L|15|ogremagi
+80 Damage|R|15|ogremagi
-1s Fireblast Cooldown|L|10|ogremagi
+12 Ignite DPS|R|10|ogremagi
+75% Hammer of Purity Bonus Base Damage|L|25|omniknight
+160 Purification Damage/Heal|R|25|omniknight
-3s Purification Cooldown|L|20|omniknight
+2s Guardian Angel Duration|R|20|omniknight
-20s Guardian Angel Cooldown|L|15|omniknight
+5 Repel Strength/HP Regen per Debuff|R|15|omniknight
+35 Base Damage|L|10|omniknight
+1s Repel Duration|R|10|omniknight
+1.5s False Promise Duration|L|25|oracle
Fortune's End constantly Dispels|R|25|oracle
-1s Purifying Flames Cooldown|L|20|oracle
-20s False Promise Cooldown|R|20|oracle
+25% Purifying Flames Enemy Damage|L|15|oracle
