name|description|is_pasive|hero_id
Supernatural|Muerta can always attack when she is ethereal. Muerta can always attack ethereal targets. When attacking ethereal targets, all of her attack damage is dealt as magical damage.|True|muerta
Eelskin|Naga Siren gets 8% evasion per other Naga Siren within 900 radius.|True|nagasiren
Spirit of the Forest|Nature's Prophet gains 3% bonus damage for each tree within 300 and a multiplier of that same bonus for each treant within 1200 distance of him.|True|nature'sprophet
Sadist|Necrophos gains stacking regen for 8 seconds for each unit he kills. Hero kills multiply the effect.|True|necrophos
Heart of Darkness|During the night, Night Stalker's health regeneration is increased by 20%, and during the day it is decreased by 20%.|True|nightstalker
Nyxth Sense|Nyx Assassin can detect heroes within 350 units of himself.|True|nyxassassin
Dumb Luck|Ogre Magi's max Intelligence is 0. He receives mana and mana regeneration from Strength.|True|ogremagi
Degen Aura|Degenerates the movement capabilities of enemy units that stray too near.|True|omniknight
Prognosticate|Oracle will predict and announce to allies, where the next power rune will spawn (top or bottom).|True|oracle
Ominous Discernment|Outworld Destroyer gains an additional 2.5 mana per point of Intelligence.|True|outworlddestroyer
Fortune Favors the Bold|Random item and ability effects of enemies near Pangolier have a reduced chance to affect him.|True|pangolier
Immaterial|Phantom Assassin focuses inward, increasing her ability to evade enemy attacks. Evasion improves with Phantom Assassin's levels.|True|phantomassassin
Illusory Armaments|Items, abilities, and auras that grant bonus damage instead grant base damage.|True|phantomlancer
Blinding Sun|Phoenix ability debuffs apply a stackable 2% Miss chance per second. Lasts 4 seconds.|True|phoenix
Colossal|Primal Beast deals 40% more damage to buildings.|True|primalbeast
Puckish|Whenever Puck disjoints an attack, it restores 10 + 2% of its max mana and 10 + 2% of its max health. Dodging a targeted spell projectile restores 3.5x that amount.|True|puck
Flesh Heap|Pudge's skin thickens permanently every time he kills an enemy Hero, gaining 1.1 bonus Strength for each stack.|True|pudge
Oblivion Savant|Pugna can cast spells and use items while channeling.|True|pugna
Succubus|All sources of Spell Lifesteal also apply to Pure Damage. Queen of Pain gains Spell Lifesteal that increases with proximity to her enemies. Lifesteal is at its maximum when the enemy is 300 units or closer to her and at its minimum when the enemy is 800 units or further from her.|True|queenofpain
Unstable Current|Passively increases Razor's movement speed by 1% per hero level.|True|razor
Backstab|Every time Riki strikes his enemy from behind, he deals bonus damage based on his Agility.|True|riki
Dark Carnival Barker|Ringmaster receives a random single-use Dark Carnival Souvenir whenever an enemy hero dies within 925 units of him. Additional Souvenirs are held as charges.|True|ringmaster
Might and Magus|Each 1% Spell Amplification also increases Rubick's attack damage by 0.75% and Magic Resistance by 0.75%.|True|rubick
Caustic Finale|Sand King's attacks inject a venom that causes enemy units to violently explode when they die.|True|sandking
Menace|Shadow Demon's Attacks apply a stacking 2% Amplify Damage debuff to the enemy for 8 seconds.|True|shadowdemon
Necromastery|Shadow Fiend steals the soul from units he kills, gaining bonus damage. On death, he releases 30% of them from bondage.|True|shadowfiend
Fowl Play|When taking lethal damage, Shadow Shaman receives a strong dispel and survives as a 1 HP chicken. Incoming damage is reduced to zero for 1s.|True|shadowshaman
Brain Drain|If Silencer kills an enemy hero, he permanently steals Intelligence.|True|silencer
Ruin and Restoration|Skywrath Mage has 25% Spell Lifesteal.|True|skywrathmage
Seaborn Sentinel|Slardar gains bonus movement speed, health regeneration, attack damage, and armor while in a puddle, trail, or river.|True|slardar
Barracuda|When not visible to the enemy team, Slark gains bonus movement speed and health regeneration.|True|slark
Buckshot|Snapfire deals 25% more damage with her auto attacks, but has a 25% chance of a glancing shot, dealing 60% damage.|True|snapfire
Keen Scope|Increases Sniper's attack range.|True|sniper
Spectral|Spectre and her illusions are permanently phased.|True|spectre
Herd Mentality|The hero on your team whose level is lower than anybody else's on your team gains 50% more experience.|True|spiritbreaker
Galvanized|Storm Spirit gains a charge of 0.2 mana regeneration per kill. Loses 3 charges per death. Leveling Ball Lightning gives Storm Spirit 3 bonus charges. Additionally every time he gains a charge he also gains 0.1 Mana Regen permanently.|True|stormspirit
Vanquisher|Sven's attacks deal 20% bonus damage to stunned enemies.|True|sven
Minefield Sign|Plant a warning sign, causing Sticky Bombs and Proximity Mines within its radius to be invulnerable and deal 15% more damage. Only one sign can exist at a time. Lasts 60 seconds.  Plant a warning sign, causing Sticky Bombs and Proximity Mines within its radius to be invulnerable and deal 15% more damage. Only one sign can exist at a time. Lasts 60 seconds.|False|techies
Third Eye|Templar Assassin and her teammates can see Roshan's respawn timer.|True|templarassassin
Dark Unity|Illusions under Terrorblade's control that are within range receive a damage bonus. Illusions outside of the range receive a damage penalty.|True|terrorblade
Blubber|Tidehunter's hide removes negative status effects if he takes more than 450 damage. Removes most debuffs, even if they are generally not purgable.|True|tidehunter
Exposure Therapy|Whenever Timbersaw destroys a tree, he gains 4 mana.|True|timbersaw
Eureka!|Tinker gains 1% item cooldown reduction per 3 Intelligence, up to a maximum of 60%.|True|tinker
Craggy Exterior|Enemies that attack Tiny receive a stacking debuff that lowers their attack damage with each stack.|True|tiny
Nature's Guise|Provides Treant with Tree Walking whenever he hasn't taken damage for 3 seconds. While nearby trees or affected by Nature's Grasp, Treant gains bonus movement speed.|True|treantprotector
Battle Stance|Troll Warlord swaps from using ranged to melee attacks. Melee attacks have decreased base attack time. Troll Warlord swaps from using ranged to melee attacks. Melee attacks have decreased base attack time.|False|trollwarlord
Bitter Chill|Passively slows the attack speed of all enemies within 350 radius.|True|tusk
Invading Force|After an allied hero Teleports, they temporarily gain Damage Reduction and Movement Speed. Allies receive 2x bonuses if teleporting via Fiend's Gate.|True|underlord
Ceaseless Dirge|When Undying dies he will instantly respawn in the fountain. Begins the game on cooldown. Cannot be refreshed.|True|undying
Maul|Ursa gains bonus damage equal to a percentage of his Current HP.|True|ursa
Retribution|Whenever an enemy hero kills Vengeful Spirit, they get a debuff until their next death, causing Vengeful Spirit to deal 20% bonus damage to them.|True|vengefulspirit
Septic Shock|Venomancer's attacks deal extra damage based on how many debuffs the attack target has. Extra damage is dealt as magical damage. Only counts debuffs from Venomancer or his Plague Wards.|True|venomancer
Predator|Viper's attacks deal an additional instance of physical damage per missing health percentage of the target hero, equal to 0.15 + 0.05 per Viper's level.|True|viper
Lurker|Visage's ability cooldown durations are accelerated as long as he's not taking damage.|True|visage
Intrinsic Edge|Void Spirit gains 25% more secondary bonuses from all of his stats.|True|voidspirit
Eldritch Summoning|Whenever an enemy unit dies while afflicted by one or more of Warlock's abilities, a minor imp is summoned that lasts for 15 seconds and explodes on death. Imps will automatically seek out nearby units, favoring fatally bonded heroes, and will explode when reaching their prey.|True|warlock
Rewoven|Every time Weaver casts an ability, he gains 50 attack range for 7s. This effect stacks independently.|True|weaver
Easy Breezy|Windranger's movement speed cannot be lower than 240 and can reach 600.|True|windranger
Eldwurm Scholar|When a Shrine of Wisdom grants experience to allies, Winter Wyvern shares the knowledge with her entire team, granting 20% of the experience to each of the 3 heroes that did not collect the initial bonus.|True|winterwyvern
Gris-Gris|Witch Doctor gets a Gris-Gris, an item that cannot be dropped or placed in the backpack. When the owner dies, 100% of the gold lost from death is added to the item, and will be refunded when the item is consumed. The value of the Gris-Gris is increased by 1 every 3s.|True|witchdoctor
Vampiric Spirit|Grants Wraith King Lifesteal. When slain Wraith King turns into a free pathing Wraith with Bonus Attack and Movement Speed for a short duration, delaying his death.|True|wraithking
Static Field|Zeus shocks any enemy that he attacks or is hit by his abilities, causing damage equal to a percentage of their current health.|True|zeus
