asset_video|asset_icon|name|shard_scepter|description|info|modifiers|cooldown|mana|lore|hero_id
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/ancient_apparition/ancient_apparition_ice_vortex|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/ancient_apparition_ice_vortex.png|ICE VORTEX||Creates a vortex of icy energy that applies Death Rime Stacks and increases magic damage done to enemies in its range.|ABILITY:Point Target;PIERCES SPELL IMMUNITY:No;DISPELLABLE:No;|RADIUS:275;INCREASED MAGIC DAMAGE:-16%/-19%/-22%/-25%;DEATH RIME STACKS:1/2/3/4;DURATION:6/8/10/12;|10/8/6/4|40/55/70/85|Frozen, caustic winds are at the whim of Kaldr, chilling the field of battle.|ancientapparition
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/ancient_apparition/ancient_apparition_chilling_touch|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/ancient_apparition_chilling_touch.png|CHILLING TOUCH||Enhances Ancient Apparition's attack with increased range and heavy magic damage. Applies a Death Rime Stack that lasts for 3 seconds. Additionally applies a 100% slow for 0.7 seconds.|ABILITY:Unit Target;AFFECTS:Enemy Units;DAMAGE TYPE:Magical;PIERCES SPELL IMMUNITY:No;DISPELLABLE:Yes;|DAMAGE:30/60/90/120;DEATH RIME STACKS:2;ATTACK RANGE BONUS:60/90/120/150;|12/9/6/3|45/50/55/60|The Ancient Apparition's eternal knowledge brings a frigid enchantment to his attacks.|ancientapparition
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/ancient_apparition/ancient_apparition_ice_blast|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/ancient_apparition_ice_blast.png|ICE BLAST||Launches a tracer toward any location on the battlefield, which must be triggered again to mark the area to be blasted by a damaging explosion of hail. The further the tracer travels, the larger the explosion will be. Enemies caught in the explosion, or who touch the icy ball of hail as it travels, are Frostbitten, gaining Death Rime Stacks and prevented from regenerating or healing. If a Frostbitten unit's health drops below a certain percentage, they will instantly shatter.|ABILITY:Point Target;DAMAGE TYPE:Magical;PIERCES SPELL IMMUNITY:Yes;DISPELLABLE:No;|DAMAGE:250/325/400;PATH RADIUS:275;FROSTBITTEN DURATION:10/11/12;DEATH RIME STACKS:2;SHATTER HEALTH THRESHOLD:12%/13%/14%;COLD FEET AOE:0/0/0;|60/50/40|175|Ice storms from ages past flow through Kaldr's frosty limbs, crashing into the world and turning its inhabitants into monuments to his eternal power.|ancientapparition
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/ancient_apparition/ancient_apparition_aghanims_shard|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/ancient_apparition_ice_blast.png|ICE BLAST|SHARD ABILITY UPGRADE|Freezes enemies hit with the current level of Cold Feet for 50% of the duration.||||||ancientapparition
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/ancient_apparition/ancient_apparition_aghanims_scepter|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/ancient_apparition_chilling_touch.png|CHILLING TOUCH|SCEPTER ABILITY UPGRADE|Removes cooldown and reduces manacost by 40%.|||12/9/6/3|45/50/55/60|The Ancient Apparition's eternal knowledge brings a frigid enchantment to his attacks.|ancientapparition
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/antimage/antimage_blink|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/antimage_blink.png|BLINK||Short distance teleportation that allows Anti-Mage to move in and out of combat.|ABILITY:Point Target;|DEBUFF DURATION:0;|12/10/8/6|50|In his encounter with the Dead Gods, Anti-Mage learned the value of being elusive.|anti-mage
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/antimage/antimage_counterspell|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/antimage_counterspell.png|COUNTERSPELL||Passively grants magic resistance. Counterspell may be activated to create an anti-magic shell around Anti-Mage that blocks and reflects any targeted spells.|ABILITY:No Target;DISPELLABLE:Yes;|MAGIC RESISTANCE:16%/24%/32%/40%;DURATION:1.2;MANA BURN PERCENTAGE:0%/0%/0%/0%;|15/11/7/3|50|With the proper focus, Anti-Mage turns innate resistance into calculated retaliation.|anti-mage
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/antimage/antimage_mana_void|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/antimage_mana_void.png|MANA VOID||For each point of mana missing by the target unit, damage is dealt to it and surrounding enemies. The main target is also mini-stunned.|ABILITY:Unit Target;AFFECTS:Enemy Units;DAMAGE TYPE:Magical;PIERCES SPELL IMMUNITY:No;|DAMAGE:0.8/0.95/1.1;STUN DURATION:0.3;RADIUS:500;MANA THIRST MAX ATTACK DAMAGE:0/0/0;|70|100/150/200|After bringing enemies to their knees, Anti-Mage punishes them for their use of the arcane arts.|anti-mage
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/antimage/antimage_aghanims_shard|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/antimage_counterspell_ally.png|COUNTERSPELL ALLY|SHARD GRANTS NEW ABILITY|Counterspell Ally may be activated to create an anti-magic shell around an allied hero that blocks and reflects any targeted spells. Any time a spell is blocked by Counterspell or Counterspell Ally, an illusion of Anti-Mage will be created next to the enemy.|ABILITY:Unit Target;AFFECTS:Allied Heroes;DISPELLABLE:Yes;|MANA BURN PERCENTAGE:0%;|3|50|The only magic that Anti-Mage will even barely tolerate... is friendship.|anti-mage
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/antimage/antimage_aghanims_scepter|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/antimage_blink.png|BLINK|SCEPTER ABILITY UPGRADE|After casting Blink, your next Mana Break within 5s burns an additional 20% max mana and prevents the target from regenerating or gaining mana for a short duration. This debuff is undispellable. Blink Cooldown reduced by 1s.|||12/10/8/6|50|In his encounter with the Dead Gods, Anti-Mage learned the value of being elusive.|anti-mage
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/arc_warden/arc_warden_flux|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/arc_warden_flux.png|FLUX||Infuses a lone enemy unit with swirling, volatile energy, dealing damage over time and slowing the target. The damage is not applied if another enemy unit is near the target.|ABILITY:Unit Target;AFFECTS:Enemy Units;DAMAGE TYPE:Magical;PIERCES SPELL IMMUNITY:No;DISPELLABLE:Yes;|DURATION:6;ALLY SEARCH RADIUS:225;DAMAGE PER SECOND:15/30/45/60;MOVEMENT SPEED SLOW:14%/21%/28%/35%;|16|75|An infinitesimal fraction of the power which imprisoned the Ancients.|arcwarden
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/arc_warden/arc_warden_magnetic_field|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/arc_warden_magnetic_field.png|MAGNETIC FIELD||Arc Warden generates a circular distortion field of magnetic energy. The magnetic field grants bonus attack speed and protects allied units within it by evading attacks coming from outside the field.|ABILITY:Point Target;PIERCES SPELL IMMUNITY:Yes;|RADIUS:300;DURATION:4/5/6/7;ATTACK SPEED BONUS:30/60/90/120;EVASION BONUS:100%;RUNE PULL FORCE:0;RUNE PULL RADIUS:0/0/0/0;|20/19/18/17|50/70/90/110|Time and space are of little consequence to one as old as Zet.|arcwarden
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/arc_warden/arc_warden_spark_wraith|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/arc_warden_spark_wraith.png|SPARK WRAITH||Summons a Spark Wraith that slowly materializes and patrols a targeted area until an enemy comes within its range. Once a target has been found the wraith fuses with them, dealing magical damage and slowing the unit.|ABILITY:Point Target;DAMAGE TYPE:Magical;PIERCES SPELL IMMUNITY:No;|SEARCH RADIUS:375;DURATION:16;MOVEMENT SLOW:100%;ACTIVATION DELAY:1.5;DAMAGE:100/170/240/310;WRAITH SPEED:550;SLOW DURATION:0.5/0.6/0.7/0.8;|4/4/4/4|80|Lesser fragments of Zet's original self.|arcwarden
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/arc_warden/arc_warden_tempest_double|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/arc_warden_tempest_double.png|TEMPEST DOUBLE||Briefly refocusing its fractured elements into a single form, the Arc Warden is able to create a perfect electrical duplication of itself. The duplicate can use all of Arc Warden's current items and special Tempest Double versions of his spells, except most consumables and items that drop on death. The duplicate has separate item and ability cooldowns.<br><br>The Tempest Double loses its sense of self and fractures over time, becoming slower and less accurate.|ABILITY:Point Target;|BOUNTY GOLD:180/240/300;DURATION:18/21/24;MAX MISS CHANCE:35%;MAX SELF SLOW:35%;|60/55/50|0|Warped by the power of its peers, Arc Warden becomes what it despises most: disharmony.|arcwarden
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/arc_warden/arc_warden_aghanims_shard|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/arc_warden_spark_wraith.png|SPARK WRAITH|SHARD ABILITY UPGRADE|When Spark Wraith activates, a secondary Spark Wraith will fuse to the next closest target that deals 80% damage. Increases Spark Wraith search radius.||||||arcwarden
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/arc_warden/arc_warden_aghanims_scepter|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/arc_warden_flux.png|FLUX|SCEPTER ABILITY UPGRADE|Flux silences when the target is alone, deals more damage, and lasts longer.|||16|75|An infinitesimal fraction of the power which imprisoned the Ancients.|arcwarden
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/axe/axe_berserkers_call|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/axe_berserkers_call.png|BERSERKER'S CALL||Axe taunts nearby enemy units, forcing them to attack him while he gains bonus armor during the duration.|ABILITY:No Target;PIERCES SPELL IMMUNITY:Yes;DISPELLABLE:No;|RADIUS:315;BONUS ARMOR:12/13/14/15;DURATION:1.8/2.2/2.6/3;ENEMY ATTACK SPEED BONUS:0;|17/15/13/11|90/100/110/120|Mogul Khan's warcry taunts opponents into engaging in an unconquerable battle with the Axe.|axe
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/axe/axe_battle_hunger|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/axe_battle_hunger.png|BATTLE HUNGER||Enrages an enemy unit, causing it to take damage over time until it kills another unit or the duration ends. The damage is increased by a factor of Axe's armor. The enemy is also slowed as long as they are facing away from Axe.|ABILITY:Unit Target;AFFECTS:Enemy Units;DAMAGE TYPE:Physical;PIERCES SPELL IMMUNITY:No;DISPELLABLE:Yes;|DURATION:12;MOVEMENT SLOW:-18%/-22%/-26%/-30%;DAMAGE PER SECOND:12/18/24/30;ARMOR MULTIPLIER:1;|20/15/10/5|50/60/70/80|Ordinary heroes cannot withstand Mogul Khan's rage for battle, such that it injures them until it is satisfied.|axe
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/axe/axe_counter_helix|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/axe_counter_helix.png|COUNTER HELIX||After a set number of attacks, Axe will perform a helix counter attack, dealing pure damage to all nearby enemies.|ABILITY:Passive;DAMAGE TYPE:Pure;PIERCES SPELL IMMUNITY:Yes;|DAMAGE:100/120/140/160;RADIUS:275;ATTACKS TO HELIX:7/6/5/4;DEBUFF DURATION:0;ATTACK DAMAGE REDUCTION:0%;MAX STACKS:0;|0.3|0|Axe is the only reinforcement this army needs.|axe
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/axe/axe_culling_blade|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/axe_culling_blade.png|CULLING BLADE||Axe spots a weakness and strikes, dealing pure damage. When an enemy hero is killed with Culling Blade, its cooldown is reset, and all nearby allied units gain bonus movement speed and armor.|ABILITY:Unit Target;AFFECTS:Enemy Units;DAMAGE TYPE:Pure;PIERCES SPELL IMMUNITY:Yes;DISPELLABLE:Yes;|DAMAGE:275/375/475;KILL MOVE SPEED BONUS:20%/25%/30%;KILL ARMOR BONUS:10/15/20;KILL BUFF DURATION:6;KILL BUFF RADIUS:900;|80/75/70|100/125/150|Mogul Khan is the embodiment of battle and fury, launching into a gruesome fatality against those who dare engage the Axe in combat.|axe
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/axe/axe_aghanims_shard|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/axe_berserkers_call.png|BERSERKER'S CALL|SHARD ABILITY UPGRADE|Berserker's Call applies Battle Hunger to affected units.||||||axe
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/axe/axe_aghanims_scepter|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/axe_counter_helix.png|COUNTER HELIX|SCEPTER ABILITY UPGRADE|Counter Helix now applies a stacking debuff to enemies hit by it that causes them to deal less total attack damage to Axe. Counter Helix no longer has a cooldown and its counter advances when Axe attacks.|||0.3|0|Axe is the only reinforcement this army needs.|axe
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/bane/bane_enfeeble|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/bane_enfeeble.png|ENFEEBLE||Deals damage every second and lowers the enemy's total attack damage and cast range.|ABILITY:Unit Target;AFFECTS:Enemy Units;DAMAGE TYPE:Pure;PIERCES SPELL IMMUNITY:No;DISPELLABLE:Yes;|ATTACK DAMAGE REDUCTION:55%/60%/65%/70%;CAST RANGE REDUCTION:30%;DURATION:9;DAMAGE:12/18/24/30;|22/17/12/7|100/110/120/130|Each tendril of fear that Atropos weaves increases the vulnerability of his victims to arcane and unknown arts.|bane
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/bane/bane_brain_sap|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/bane_brain_sap.png|BRAIN SAP||Feasts on the vital energies of an enemy unit, healing Bane and dealing damage.|ABILITY:Unit Target;AFFECTS:Enemy Units;DAMAGE TYPE:Pure;PIERCES SPELL IMMUNITY:Yes;|HEAL/DAMAGE:90/160/230/300;|17/15/13/11|120/130/140/150|Atropos finds no greater pleasure than to harvest the fear he creates.|bane
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/bane/bane_nightmare|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/bane_nightmare.png|NIGHTMARE||Puts the target enemy or friendly Hero to sleep. Sleeping units are awakened when damaged. If the target was directly attacked, the Nightmare passes to the attacking unit. Bane can attack and damage Nightmared targets freely.|ABILITY:Unit Target;AFFECTS:Heroes;PIERCES SPELL IMMUNITY:No;DISPELLABLE:Yes;|ATTACK SPEED BONUS:0/0/0/0;WALK SPEED:0;DURATION:3.5/4.5/5.5/6.5;|24/21/18/15|120/130/140/150|A stolen prowess from the goddess Nyctasha is to put his prey into forever sleep.|bane
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/bane/bane_fiends_grip|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/bane_fiends_grip.png|FIEND'S GRIP||CHANNELED - Grips an enemy unit, disabling it and causing heavy damage over time, while stealing mana every 0.5 seconds based on the unit's maximum mana.|ABILITY:Unit Target;AFFECTS:Enemy Units;DAMAGE TYPE:Pure;PIERCES SPELL IMMUNITY:Yes;DISPELLABLE:Only Strong Dispels;|MANA DRAIN PER SECOND:5%;DAMAGE:70/110/150;DURATION:4.75/5.25/5.75;|120/110/100|200/300/400|Victims of Atropos are frequently torn apart by vivid conjurations of their own nightmares.|bane
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/bane/bane_aghanims_shard|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/bane_brain_sap.png|BRAIN SAP|SHARD ABILITY UPGRADE|Reduces cooldown by 3. Causes Brain Sap to become a 550 AoE spell. Secondary targets only heal for 30%.||||||bane
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/bane/bane_aghanims_scepter|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/bane_fiends_grip.png|FIEND'S GRIP|SCEPTER ABILITY UPGRADE|Reduces Fiend's Grip cooldown by 45. Fiend's Grip now creates two uncontrollable illusions that are also channeling Fiend's Grip on the target. Illusions take 200% incoming damage and immediately die if they are interrupted. Damage does not stack.|||120/110/100|200/300/400|Victims of Atropos are frequently torn apart by vivid conjurations of their own nightmares.|bane
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/batrider/batrider_sticky_napalm|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/batrider_sticky_napalm.png|STICKY NAPALM||Drenches an area in sticky oil, amplifying damage from Batrider's attacks and abilities and slowing the movement speed and turn rate of enemies. Additional casts of Sticky Napalm continue to increase damage, up to 20 stacks. Applies a small amount of damage with each cast.|ABILITY:Point Target;AFFECTS:Enemy Units;DAMAGE TYPE:Magical;PIERCES SPELL IMMUNITY:No;DISPELLABLE:Yes;|STACKS PER CAST:2;DAMAGE PER STACK:2.5/5/7.5/10/10;RADIUS:375;DURATION:6;MOVEMENT SLOW:-0.75%/-1.5%/-2.25%/-3%/-3%;TURN RATE SLOW:-10%/-30%/-50%/-70%/-70%;APPLICATION DAMAGE:5/10/15/20/20;BUILDING DAMAGE:0%;|3|22|It's not uncommon to hear the Rider cackle while he increases the flammability of his opponents.|batrider
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/batrider/batrider_flamebreak|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/batrider_flamebreak.png|FLAMEBREAK||Hurls an explosive cocktail that explodes when it reaches the target location, knocking back, slowing and dealing damage over time to enemies in the area.|ABILITY:Point Target;DAMAGE TYPE:Magical;PIERCES SPELL IMMUNITY:No;DISPELLABLE:Yes;|IMPACT DAMAGE:25/50/75/100;DAMAGE PER SECOND:25/30/35/40;BURN DURATION:2/3/4/5;RADIUS:400;KNOCKBACK DISTANCE:250;MOVEMENT SLOW:8%/16%/24%/32%;|22/19/16/13|110/115/120/125|A molotov cocktail is the weapon of choice for Batrider.|batrider
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/batrider/batrider_firefly|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/batrider_firefly.png|FIREFLY||Batrider takes to the skies, laying down a trail of flames from the air. The fire damages any enemies it touches, and destroys trees below Batrider.|ABILITY:No Target;DAMAGE TYPE:Magical;PIERCES SPELL IMMUNITY:No;DISPELLABLE:No;|DAMAGE PER SECOND:25/50/75/100;RADIUS:250;DURATION:15;MAX MOVEMENT SPEED BONUS:0%/0%/0%/0%;MAX SPELL AMPLIFICATION BONUS:0%;MAX HEALTH AS DAMAGE PER SECOND:0%;|45/40/35/30|100|When an enemy escapes into the Yama Raskav Jungle, most would cut through the brush to find the fugitive. Batrider just chooses to destroy the jungle along with his foes.|batrider
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/batrider/batrider_flaming_lasso|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/batrider_flaming_lasso.png|FLAMING LASSO||Lassoes an enemy and drags them in Batrider's wake. Dragged units cannot move, attack, or use abilities. Teleporting or blinking will break the lasso.|ABILITY:Unit Target;AFFECTS:Enemy Units;DAMAGE TYPE:Magical;PIERCES SPELL IMMUNITY:Yes;DISPELLABLE:Only Strong Dispels;|DURATION:2.25/2.75/3.25;TOTAL DAMAGE:200/350/500;|90/75/60|125/150/175|Few dare to ask to ride on the bat, as Batrider gives them free of charge.|batrider
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/batrider/batrider_aghanims_shard|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/batrider_sticky_napalm.png|STICKY NAPALM|SHARD ABILITY UPGRADE|Sticky Napalm no longer has a stack limit.<br><br>Sticky Napalm deals damage to structures.||||||batrider
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/batrider/batrider_aghanims_scepter|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/batrider_flaming_lasso.png|FLAMING LASSO|SCEPTER ABILITY UPGRADE|Flaming Lasso grabs both its target, as well as the target's nearest allied hero within 650 units. The secondary target is tethered to the first.|||90/75/60|125/150/175|Few dare to ask to ride on the bat, as Batrider gives them free of charge.|batrider
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/beastmaster/beastmaster_wild_axes|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/beastmaster_wild_axes.png|WILD AXES||Beastmaster sends his axes flying and calls them home again, slicing through enemy units and trees along their path. Each axe can hit an enemy once, and amplifies subsequent damage from Beastmaster and his units.|ABILITY:Point Target;AFFECTS:Enemy Units;DAMAGE TYPE:Magical;PIERCES SPELL IMMUNITY:No;DISPELLABLE:Yes;|CAST RANGE:1500;DAMAGE PER AXE:35/65/95/125;DEBUFF DURATION:12;DAMAGE AMP PER STACK:6%/8%/10%/12%;|8|50/55/60/65|While learning to maneuver in nature alone, the Beastmaster also mastered the use of a pair of tomahawks, adept at cutting down trees as well as adversaries.|beastmaster
